country,Employee age,Emplyoee work exp,Salary
Netherlands,23,2,60400
Italy,38,16,88200
Argentina,24,2,13000
Portugal,33,6,55000
Canada,25,6,76800
Brazil,33,12,58000
Argentina,46,15,73000
Spain,47,24,112200
Italy,45,24,113100
Portugal,30,9,59200
Argentina,30,5,41500
Belgium,40,18,101800
Germany,31,8,97300
Germany,31,5,65200
Norway,35,10,116600
Sweden,32,11,89200
Norway,30,7,96400
Denmark,36,12,122100
Norway,32,13,105100
Portugal,28,9,57700
Denmark,62,44,278400
Spain,35,8,78800
Spain,36,9,78400
Switzerland,30,7,117300
Brazil,48,26,93300
Norway,34,12,114200
Austria,35,7,72700
US,32,10,117000
Netherlands,38,20,124800
Norway,43,25,144900
Belgium,39,18,117200
Germany,27,2,71800
Switzerland,54,32,184200
Switzerland,25,3,79700
Netherlands,30,6,79900
Switzerland,28,10,122200
Poland,37,16,81600
Canada,31,12,93000
Portugal,18,0,29200
Sweden,30,7,79900
UK,33,15,109000
Switzerland,29,6,108500
US,44,26,139100
Switzerland,51,29,164100
Netherlands,40,13,102400
Spain,35,15,98500
Belgium,38,16,108900
Argentina,38,18,68000
Canada,33,15,93200
France,35,11,90800
Spain,45,20,109200
Germany,41,18,120300
France,28,6,81800
Ireland,50,25,148000
Spain,22,2,66800
Argentina,49,27,97300
Denmark,24,3,69500
Canada,34,16,99700
Ireland,47,24,128900
Italy,40,15,74000
France,35,10,83400
Sweden,40,14,99000
Denmark,29,6,91600
Argentina,38,12,55900
Mexico,36,12,70800
Canada,37,14,102700
Mexico,29,8,38200
UK,29,5,95500
Brazil,29,1,28500
Mexico,37,18,61500
Germany,41,18,123000
Spain,37,14,82600
US,26,7,88200
Poland,18,0,28900
Netherlands,30,12,104000
Netherlands,25,4,71500
Argentina,41,18,57900
UK,44,23,114700
UK,38,12,89400
UK,55,30,132700
Belgium,18,0,57400
Spain,24,1,63700
Switzerland,47,25,151700
US,23,0,70800
Denmark,18,0,66600
Italy,47,26,125300
Netherlands,48,26,135800
Portugal,28,8,61000
UK,36,15,107600
Sweden,35,14,117000
Sweden,43,16,101900
Canada,39,11,96900
France,22,3,76500
Sweden,25,1,61000
Netherlands,43,19,128200
Argentina,32,14,55400
Argentina,37,11,61500
Argentina,26,0,40500
Spain,29,10,66900
US,36,18,128000
Ireland,32,11,90300
Norway,37,17,114500
Germany,30,8,81800
Denmark,46,23,126600
Canada,46,23,130600
Brazil,47,21,75000
Sweden,35,12,103500
Poland,36,9,63000
Netherlands,36,12,104900
Switzerland,18,0,104000
Switzerland,22,0,99700
Ireland,61,40,166900
Denmark,36,18,105200
Italy,27,2,51000
Austria,28,4,93700
UK,53,32,153600
Argentina,36,13,60400
Norway,33,15,117600
Poland,50,19,96600
Portugal,42,23,97400
Austria,21,3,67300
Norway,25,0,75600
Spain,49,23,103700
Netherlands,41,19,123200
Argentina,18,0,22700
Poland,45,25,104700
Ireland,35,12,90200
Poland,25,0,18700
Spain,33,15,100100
Norway,36,14,127100
Mexico,30,5,31500
Switzerland,23,5,99700
Switzerland,35,13,138600
Ireland,32,12,96100
Argentina,55,33,117600
Norway,38,17,114200
Sweden,37,16,116100
Portugal,27,0,26900
US,40,17,118700
US,35,11,108800
Spain,35,15,82500
Denmark,28,3,80500
Austria,29,4,85500
Sweden,18,0,62700
Netherlands,33,11,102200
Poland,18,0,36900
Poland,38,15,90900
Belgium,27,3,71900
Brazil,37,15,53400
Denmark,34,14,108300
Ireland,41,20,130600
Belgium,28,8,86400
Argentina,18,0,23600
UK,18,0,71300
Sweden,36,7,88300
Spain,38,16,82700
US,52,26,145400
Canada,35,16,110100
Belgium,30,2,77000
Belgium,65,47,186700
Germany,55,37,190300
US,23,3,92000
Sweden,31,13,111700
Austria,31,10,90000
Austria,46,24,127500
US,47,22,141800
US,18,0,80300
Argentina,22,1,23100
Brazil,41,20,73700
Spain,34,15,70000
Portugal,31,10,79700
UK,31,10,99800
Denmark,28,8,93200
Canada,30,7,83200
Argentina,31,8,33200
Brazil,38,14,59600
Denmark,35,15,111500
Argentina,32,11,56700
Poland,32,9,66100
Mexico,25,4,28200
Belgium,36,14,91100
Mexico,32,7,42500
Portugal,39,15,126800
Argentina,38,20,88200
Brazil,18,0,25600
Germany,23,0,76900
France,49,23,119200
Denmark,52,32,165300
Portugal,24,4,41400
Italy,33,15,86500
US,40,18,113700
Switzerland,46,18,143700
Norway,45,22,121400
Brazil,23,0,30100
Switzerland,44,20,163400
Austria,54,27,137700
Switzerland,39,9,122400
Netherlands,20,0,62400
Norway,37,11,107800
Brazil,57,39,122400
Mexico,25,3,29200
Denmark,38,19,124100
Brazil,42,18,61000
Sweden,52,33,149100
Mexico,61,43,148800
Belgium,31,8,80900
Switzerland,29,10,121000
US,30,9,99200
Belgium,40,16,117100
Poland,47,22,95700
Netherlands,34,12,112200
UK,28,3,81100
Spain,52,23,119800
Spain,46,28,113600
US,24,6,91500
Belgium,36,9,86700
Spain,37,11,73200
Switzerland,18,0,90900
US,22,0,91000
Brazil,33,10,51400
Germany,18,0,61300
US,23,1,84000
Spain,27,5,56500
Italy,51,31,133900
France,36,15,98300
Italy,34,11,82100
US,41,15,139900
Brazil,47,25,168300
Mexico,50,31,100900
Italy,35,15,85400
Netherlands,32,12,102800
Sweden,40,18,110200
Portugal,30,11,50200
Norway,25,0,74500
Canada,31,10,90900
Netherlands,36,11,90800
US,36,12,104200
Italy,34,8,59900
Ireland,26,4,68400
Brazil,39,16,70400
Mexico,32,13,62400
Switzerland,18,0,83800
Switzerland,34,12,126800
US,37,15,103700
Italy,37,16,84600
Belgium,48,30,129900
Argentina,28,7,31300
Norway,35,14,102400
Canada,40,12,98600
Poland,43,16,72100
Norway,36,14,116700
France,33,9,99800
Spain,48,22,95000
Ireland,37,14,105600
Portugal,38,15,79000
Belgium,53,27,134400
Switzerland,44,18,162700
Denmark,44,24,146200
Canada,28,4,86700
Italy,30,11,71100
Brazil,43,23,78000
Germany,25,1,65700
Brazil,44,25,104000
Sweden,28,10,86800
Ireland,34,14,105800
Brazil,21,0,23300
Italy,36,13,94000
Canada,43,18,112000
Canada,27,7,84700
Norway,34,12,102000
Ireland,46,27,155200
Ireland,52,30,150500
Germany,47,24,139400
Poland,43,18,98600
UK,33,8,94900
Denmark,35,12,109800
Austria,40,20,97200
Ireland,22,3,55200
Ireland,22,2,67700
Germany,34,14,99500
Argentina,32,3,34900
Switzerland,19,0,102400
Portugal,29,7,67600
Portugal,45,16,84900
France,43,21,180800
UK,30,8,93600
Mexico,32,9,49500
Netherlands,55,37,180100
Spain,54,32,141500
UK,34,12,97500
Argentina,39,21,71000
Poland,35,17,78300
Austria,53,31,135500
Canada,30,4,63600
Ireland,22,0,60200
Denmark,47,26,144200
Denmark,25,4,80900
Portugal,47,29,112500
Mexico,45,23,76200
Portugal,48,27,100100
Argentina,27,5,36700
Mexico,38,17,73500
Switzerland,25,3,113700
Spain,43,19,91600
Portugal,36,17,84200
Mexico,33,14,62000
Portugal,35,10,68100
Canada,18,0,49800
Norway,50,30,166800
Switzerland,25,2,103600
Canada,44,23,128200
Brazil,32,8,47900
Brazil,31,4,35300
Portugal,32,12,68300
Poland,33,7,46000
Mexico,46,27,100700
Norway,40,15,109400
Norway,25,3,79000
Italy,49,26,116800
UK,40,14,106800
Sweden,18,0,68100
Canada,28,7,65700
Germany,55,37,182200
Canada,34,14,104400
Spain,49,23,103000
Switzerland,35,12,123600
Brazil,30,8,50500
UK,18,0,55900
US,31,9,93300
Argentina,19,0,18300
Mexico,31,7,41100
Canada,38,15,113200
Norway,32,8,93000
Norway,32,9,92700
Mexico,41,21,102100
Norway,23,2,90700
Sweden,42,14,84400
Canada,33,6,92400
Sweden,43,22,133600
Portugal,34,15,79200
Portugal,39,21,84200
Denmark,28,4,83900
Italy,38,14,92200
Brazil,37,14,59200
Canada,44,21,134100
Denmark,45,19,120600
Denmark,54,32,157600
Ireland,25,7,95000
Switzerland,34,15,137600
Switzerland,32,4,113400
UK,37,12,106300
Belgium,28,10,91700
UK,42,19,117400
Italy,46,28,105700
Canada,34,11,98200
Sweden,36,16,91000
Netherlands,32,12,95400
UK,31,10,97400
Netherlands,47,22,115500
Mexico,30,9,54200
France,23,2,63200
Italy,54,28,118600
Brazil,33,13,48000
Portugal,27,7,47000
Spain,43,20,116400
Norway,31,1,71600
US,34,9,99400
France,35,15,104800
Ireland,37,16,106800
Norway,24,0,69800
Poland,26,3,37600
France,41,13,103600
UK,41,14,125300
Austria,18,0,68600
Spain,24,5,60000
Italy,26,2,52800
Spain,42,21,107700
Denmark,50,30,158700
Belgium,37,12,98600
Mexico,23,0,32800
UK,18,0,77700
Poland,21,1,41800
UK,22,1,56700
Austria,27,7,80500
Germany,19,0,64500
Brazil,44,26,88100
Belgium,37,14,91600
Norway,31,9,95800
Italy,27,9,60400
Austria,23,5,72700
Portugal,20,2,49100
Argentina,18,0,6300
Austria,47,27,131000
Denmark,29,3,88600
Argentina,53,35,118400
Canada,44,24,124700
Norway,43,17,111500
Poland,46,23,104800
Germany,23,0,75300
Portugal,37,19,87500
Austria,32,10,84500
UK,26,5,83900
US,19,0,76000
Netherlands,39,20,129500
Ireland,18,0,65900
Canada,32,10,108200
Sweden,39,17,111300
UK,29,3,72100
Ireland,35,12,89000
Poland,43,23,99900
Argentina,30,7,60700
Ireland,18,0,57300
Italy,39,21,96500
UK,22,0,60700
US,33,13,202700
France,26,2,65200
UK,30,6,92500
Ireland,20,0,65300
Spain,18,0,58200
Argentina,36,17,69700
Norway,48,29,160400
Poland,47,25,100600
Norway,34,10,98100
US,25,1,84000
Argentina,32,11,40800
Argentina,42,22,98800
Denmark,43,15,107500
Brazil,20,0,30200
Belgium,18,0,45800
Ireland,24,2,62200
France,31,6,76100
Mexico,32,7,46200
Switzerland,46,21,141700
Poland,54,34,131500
Ireland,55,30,156700
Belgium,35,9,91300
Norway,40,16,119300
Norway,47,29,161000
Switzerland,20,1,94000
Sweden,24,2,73500
Sweden,35,12,99300
Italy,51,29,119300
Switzerland,40,19,142800
Netherlands,37,16,244500
Italy,44,22,106200
Mexico,44,21,74800
Netherlands,42,21,126000
Germany,29,10,100100
Denmark,30,6,88000
Brazil,31,7,56200
Brazil,25,6,31900
Italy,28,10,81400
Netherlands,45,23,112000
Mexico,26,0,29700
Spain,46,28,130700
Mexico,28,6,46000
Portugal,31,11,53600
Italy,32,9,64300
US,38,15,118500
Italy,42,24,124000
Poland,26,3,47200
Canada,32,7,87100
Netherlands,29,8,93600
Canada,44,24,130800
Sweden,18,0,53500
Canada,54,30,150000
Brazil,28,7,37400
Netherlands,41,21,131600
Portugal,25,6,47300
Canada,40,17,116000
Brazil,52,21,83700
Sweden,22,0,85700
Belgium,34,6,78600
US,38,19,128900
Argentina,34,16,62000
Poland,49,30,122700
Norway,28,8,92900
Norway,49,27,135300
Sweden,29,9,99200
Norway,28,3,98400
Norway,33,15,120400
Germany,47,23,141000
Italy,39,21,112800
Belgium,44,23,123600
Mexico,27,5,5000
Spain,24,5,63500
Brazil,25,7,40200
Portugal,44,22,113200
Switzerland,37,14,137300
Spain,38,13,99000
Sweden,48,26,135700
Canada,21,0,64400
Switzerland,32,11,125600
Spain,38,17,87000
Spain,38,17,100900
Switzerland,48,28,170000
Switzerland,35,13,126000
Canada,18,0,61600
Germany,28,6,89400
Canada,19,1,69500
Belgium,28,4,84600
Netherlands,35,11,106900
Germany,41,15,108800
Poland,35,17,99000
UK,32,11,108200
Ireland,18,0,64200
Germany,30,8,85900
Germany,35,11,104400
Netherlands,40,16,108700
Mexico,51,27,91600
Mexico,26,3,17900
Canada,32,14,102300
Canada,41,23,128700
Belgium,47,26,134700
Sweden,35,14,98600
Argentina,30,12,55500
Norway,28,3,75100
Austria,42,20,108500
Spain,39,16,95100
Switzerland,28,5,103900
Ireland,24,0,66400
Portugal,27,0,29300
Switzerland,28,7,117600
Germany,45,23,129700
Canada,37,16,100100
Italy,38,13,93400
Brazil,51,26,86500
US,41,22,129700
Argentina,37,11,45800
Norway,44,26,143300
France,41,20,107900
Belgium,50,27,137400
US,33,10,108900
Denmark,22,0,95800
US,30,8,84700
Italy,55,34,148500
Denmark,39,18,114000
Mexico,48,27,96700
Spain,36,16,99300
Brazil,47,26,78000
Mexico,34,14,62000
France,18,0,69700
Canada,31,7,89000
Switzerland,21,0,97500
Poland,35,12,78500
Italy,18,0,59200
France,22,0,63800
Germany,49,24,121100
Argentina,41,15,61400
Argentina,41,19,62900
Switzerland,25,0,95700
Austria,41,23,127700
Belgium,27,7,79900
Ireland,28,6,82900
Austria,38,20,119700
UK,34,7,83700
UK,36,15,94600
Mexico,31,6,34300
Austria,30,6,71800
Switzerland,48,26,157000
Ireland,52,31,135200
Germany,22,4,67400
US,29,8,90200
Mexico,37,10,47700
Sweden,43,21,124200
Germany,36,14,111600
Netherlands,53,35,170400
Austria,43,22,135200
Norway,31,8,108100
Germany,29,9,97500
UK,18,0,80100
France,38,12,109800
Belgium,49,25,137000
Germany,33,10,92400
Switzerland,47,25,144100
Denmark,39,14,106900
Italy,31,13,78200
Poland,30,12,71300
France,21,1,55400
Argentina,33,12,53200
Norway,31,2,94500
Norway,30,10,88000
Sweden,25,7,94200
Germany,58,35,171000
Netherlands,38,15,108300
Italy,56,32,124400
Sweden,44,19,111900
Denmark,28,9,104800
Portugal,44,26,98400
Belgium,18,0,65500
Poland,30,6,43800
Netherlands,28,9,108800
Italy,28,2,56100
Switzerland,45,22,148700
UK,24,3,71100
Germany,42,18,124300
Denmark,35,11,102100
Portugal,23,0,40000
Ireland,42,23,127200
Switzerland,18,0,83700
Spain,32,7,71400
Brazil,35,14,64000
UK,31,9,93400
Austria,27,9,84600
Sweden,31,7,67500
Poland,36,11,70500
Italy,35,17,84000
France,31,10,90300
Denmark,48,24,135300
Mexico,18,0,20700
Poland,47,23,109500
Ireland,38,15,113100
US,36,9,119200
Norway,30,6,83600
Denmark,39,13,115100
Switzerland,60,36,190700
Ireland,22,0,79000
Poland,27,4,53700
Portugal,35,13,63700
Switzerland,43,20,127900
Austria,34,13,109500
Netherlands,36,14,100100
Argentina,47,25,68900
UK,47,22,112200
Netherlands,25,2,75900
Italy,35,10,74900
Switzerland,41,22,154300
Italy,29,7,79400
Spain,40,20,110800
Germany,38,20,111800
Spain,35,16,101100
Brazil,38,14,68500
Portugal,39,16,86400
Sweden,26,8,94100
Mexico,28,10,41700
Denmark,49,29,139600
Norway,40,18,122900
Sweden,38,16,108500
Switzerland,35,17,156700
Ireland,29,4,77000
Denmark,29,9,79200
Canada,38,19,107400
US,41,16,94600
US,30,9,96600
Portugal,50,32,119400
US,35,12,114400
Mexico,34,8,44500
Ireland,41,20,112500
Poland,40,20,87100
Denmark,44,20,125400
Germany,36,15,100200
Brazil,34,16,59200
France,38,13,90100
Germany,39,19,123600
Denmark,18,0,74900
Canada,38,15,110000
Germany,31,6,95700
Netherlands,35,12,121000
Mexico,29,11,52300
Brazil,18,0,30100
Ireland,44,23,125000
Portugal,34,11,59000
Argentina,18,0,15900
Norway,27,8,99400
Italy,49,28,126900
Denmark,35,15,119500
Mexico,22,2,38200
Mexico,37,19,66700
US,48,27,152800
US,40,20,125600
Brazil,40,19,72100
Canada,31,10,78200
Canada,26,2,69800
Italy,41,20,92700
Portugal,34,11,58700
Denmark,38,15,117600
Norway,41,23,142600
Brazil,28,5,26500
France,32,14,90400
Belgium,32,11,80500
Denmark,34,13,90000
Switzerland,31,7,131900
Denmark,35,9,105300
Sweden,39,16,103900
Argentina,25,7,43100
Italy,34,11,76000
France,44,20,135900
Switzerland,32,12,124400
Spain,49,24,116100
Canada,41,18,118900
Belgium,29,7,87700
Canada,33,8,73400
US,22,0,74800
UK,33,14,97800
Netherlands,41,18,133700
Portugal,42,23,95400
Italy,40,11,86500
Argentina,42,21,70800
Netherlands,18,0,62200
US,18,0,67200
Canada,44,26,125500
Canada,47,22,118700
Brazil,27,5,32200
Belgium,28,6,77100
Germany,22,0,80400
Austria,32,8,89200
UK,29,6,97900
Netherlands,19,1,74000
France,39,13,189000
US,61,36,162100
Italy,34,4,59500
Switzerland,58,37,191900
Portugal,41,18,80500
Argentina,32,12,54100
UK,46,28,134500
Netherlands,44,26,136200
US,29,11,106700
Italy,33,8,68200
Poland,42,21,81200
Netherlands,19,0,63900
Sweden,27,7,92400
Belgium,48,30,137600
France,38,19,110600
Ireland,33,11,81500
Poland,43,21,105800
Argentina,28,6,39000
Norway,29,0,67200
France,24,0,66700
Ireland,26,5,73600
Canada,18,0,58600
UK,45,22,313600
Brazil,46,28,94100
Belgium,26,6,69100
Sweden,33,10,86200
Argentina,32,10,57800
Canada,27,8,84500
UK,28,1,81600
Norway,28,8,100500
US,48,21,146500
UK,29,9,97700
UK,34,10,97000
Mexico,36,9,63100
US,57,33,155200
Brazil,33,11,43200
Netherlands,34,11,112600
Sweden,40,15,100800
France,24,6,75400
UK,36,15,100900
Sweden,32,11,107800
Argentina,34,14,51800
US,38,14,105700
Spain,30,10,70900
Ireland,28,7,77000
Spain,37,13,91300
Sweden,52,28,141700
Argentina,35,17,66500
Poland,32,9,76300
Netherlands,36,11,103200
Denmark,35,10,98500
Norway,27,4,86600
France,40,21,124100
Poland,29,7,57300
Canada,53,31,133400
Portugal,33,9,58500
Sweden,30,6,89200
Portugal,42,22,98000
Canada,38,14,102600
Portugal,50,29,113600
Germany,33,10,103300
Portugal,45,23,111100
Denmark,45,21,124000
Austria,54,33,146600
Norway,27,4,77900
Denmark,30,9,104500
Italy,34,9,74700
US,33,15,124800
UK,35,15,120200
Norway,29,7,79000
US,25,3,69400
Italy,49,21,112900
Switzerland,55,36,183200
Poland,20,0,40400
Portugal,34,12,73000
Portugal,43,24,112700
Sweden,30,4,62500
Spain,48,29,122200
Poland,43,24,95800
France,57,37,156200
Mexico,18,0,22200
France,31,8,88200
Austria,34,13,103600
France,39,14,93800
Spain,32,7,69800
UK,19,1,76600
UK,49,23,114600
Norway,18,0,77700
Canada,29,10,81100
Italy,43,22,99300
Brazil,41,20,71600
Denmark,21,0,65700
Portugal,34,16,76200
Norway,48,22,130300
US,34,16,125700
Austria,38,14,95900
Denmark,32,7,94700
Denmark,39,19,121000
Sweden,25,6,81400
Argentina,40,18,77500
Mexico,36,17,70500
Austria,33,10,82600
Germany,43,23,131900
Denmark,57,36,164000
Spain,53,35,150500
Portugal,48,24,106200
Austria,30,7,83000
Norway,35,15,121100
Sweden,28,9,84700
Denmark,26,0,82200
Portugal,50,32,128400
Switzerland,47,19,150200
Switzerland,29,0,94100
Belgium,32,8,69400
Austria,56,37,172100
France,34,16,101600
Ireland,35,8,92400
Norway,27,7,103000
Norway,24,1,87000
Canada,36,11,95300
Switzerland,23,2,103500
Sweden,39,13,107600
Austria,45,25,134000
Belgium,27,8,76400
Austria,45,26,108600
Norway,48,28,142900
US,34,11,112700
Mexico,30,10,56100
Argentina,37,14,54600
Germany,35,12,114400
Norway,34,11,113900
Ireland,35,17,108200
Switzerland,47,27,179900
Portugal,33,8,55100
Sweden,18,0,66500
Ireland,30,7,88200
Norway,31,4,92300
UK,32,14,98200
Germany,41,21,134400
Ireland,34,8,87800
Italy,48,25,108300
Brazil,43,25,91900
Italy,24,2,44900
Netherlands,26,0,56600
Italy,49,29,114400
Sweden,29,7,77000
Spain,31,4,63600
Spain,42,16,87300
Spain,36,17,99600
US,31,12,98700
Italy,55,36,145700
Poland,40,11,63200
Argentina,25,6,35400
Canada,42,21,115700
Brazil,31,9,56200
Brazil,25,0,18100
Ireland,30,7,73800
Denmark,46,28,140600
Italy,61,40,166000
Germany,24,4,87700
Ireland,35,15,106200
Brazil,32,8,49100
US,34,16,125600
Austria,30,10,86600
Spain,48,24,110700
Argentina,35,13,53100
Ireland,42,18,119400
Canada,38,18,112700
Germany,41,23,134600
Norway,35,12,127900
US,48,25,150500
Netherlands,32,13,110000
Belgium,37,11,95300
Belgium,18,0,68600
France,35,16,97300
Canada,44,26,124500
Norway,34,9,105500
Argentina,39,21,71600
Italy,34,12,77900
Brazil,36,12,57400
Argentina,39,14,47100
Ireland,44,21,142700
Switzerland,37,18,140900
Brazil,40,15,139300
Netherlands,51,28,142000
Argentina,57,37,119800
Italy,42,18,97200
Denmark,36,11,110100
Denmark,37,15,108900
Sweden,37,16,101800
France,25,2,68400
Switzerland,23,5,99600
Sweden,52,29,134900
Denmark,40,16,118200
Brazil,29,5,30300
Sweden,25,6,92900
Switzerland,49,26,170900
Poland,34,12,75200
Germany,35,17,120600
Canada,18,0,56800
UK,41,21,133000
Spain,40,18,104000
Italy,46,21,102300
Spain,43,17,102200
Norway,45,26,135700
Italy,37,15,92500
Switzerland,29,8,108500
Netherlands,25,4,74500
Netherlands,25,3,82200
Austria,41,20,117400
Brazil,33,12,43000
Netherlands,33,9,108900
Germany,30,10,98400
France,48,30,152900
Norway,44,26,136000
Canada,32,13,95800
Argentina,28,6,49600
France,39,13,106200
Argentina,32,13,45400
Italy,39,20,96700
Brazil,35,9,36000
Canada,35,15,107600
Germany,32,13,107900
Portugal,42,20,87500
Spain,36,15,103900
Norway,36,13,120100
Italy,30,12,75300
Mexico,42,19,66100
Belgium,54,33,150300
Austria,31,13,102300
Belgium,41,18,97600
Portugal,18,0,31300
UK,31,8,76200
Sweden,44,23,123500
Spain,35,9,60200
Argentina,43,16,49600
Germany,39,21,118200
Denmark,30,8,91700
Denmark,38,16,119900
Germany,35,14,101400
Spain,33,10,83500
Germany,37,14,116700
Switzerland,47,25,171100
Germany,40,15,108000
Canada,39,13,104800
Belgium,28,7,83400
Canada,44,25,122100
Sweden,20,0,72400
Brazil,19,0,5000
Portugal,37,16,75900
Belgium,36,17,111000
Austria,18,0,62300
Portugal,48,27,103700
Germany,47,27,132200
US,28,9,94500
Brazil,27,3,30700
Norway,65,40,187200
Portugal,39,11,60200
Spain,32,8,57500
Germany,18,0,69400
Switzerland,35,15,124800
Belgium,51,29,147000
Canada,50,24,113500
Sweden,23,2,70000
Austria,32,8,90400
Brazil,44,23,89400
Austria,19,0,58700
Argentina,26,6,41900
Netherlands,27,4,74200
Norway,26,5,80600
Ireland,26,0,70600
Mexico,32,6,30400
US,18,0,65600
US,46,27,155900
Portugal,42,17,85400
Sweden,42,21,139800
Sweden,29,4,52400
Austria,55,30,142600
Mexico,30,8,41100
Netherlands,30,8,91200
France,35,15,101000
Belgium,37,19,101300
Switzerland,29,4,103600
Italy,43,23,101000
UK,28,8,84400
Sweden,36,13,97500
Denmark,42,22,132700
Sweden,44,23,124100
Spain,36,14,100400
Netherlands,30,8,107900
US,33,14,118400
Canada,51,29,144800
Argentina,20,0,23700
UK,41,22,123300
Belgium,21,0,63200
UK,43,13,107800
Canada,21,0,67600
Austria,32,13,98200
Poland,24,3,46000
Germany,18,0,79200
Mexico,40,18,82100
France,19,0,85100
UK,47,29,136500
UK,39,16,113000
Switzerland,42,16,113500
France,37,13,98600
Argentina,51,27,97300
Ireland,23,0,82200
UK,34,13,98200
Argentina,18,0,15800
Norway,26,3,68600
Mexico,38,15,69900
Netherlands,35,17,112400
Norway,18,0,60000
US,27,9,83500
France,23,0,55400
Argentina,35,14,57900
Canada,20,0,54400
Canada,44,21,102100
Italy,39,14,102500
Denmark,25,5,101500
Germany,43,19,125000
UK,36,12,107000
Argentina,43,22,77400
Portugal,20,0,40900
Argentina,48,22,79300
Ireland,19,0,59500
Ireland,39,20,115600
France,35,15,120600
Brazil,31,12,57400
Poland,27,0,50200
Norway,40,20,131100
Ireland,41,19,127800
Germany,28,5,80300
Argentina,45,26,82400
Poland,49,26,119200
Switzerland,19,0,91900
Ireland,33,11,97000
Canada,27,7,88400
Ireland,59,40,175700
Denmark,33,10,85400
US,35,8,91400
Austria,30,5,73600
Norway,33,8,91400
Brazil,39,14,55200
France,34,15,106100
Argentina,27,7,44400
Portugal,42,20,82700
Poland,32,9,75900
Sweden,26,3,64000
Spain,25,4,58200
Norway,45,21,133400
Poland,26,7,69600
Ireland,44,23,136600
Portugal,32,9,68600
Belgium,34,8,74600
Brazil,34,14,69200
Portugal,24,2,34700
Mexico,35,14,65500
Portugal,40,22,106400
US,31,9,95500
Spain,27,4,64900
US,27,2,71200
Austria,23,1,57000
Italy,32,9,68400
Spain,37,16,88300
Austria,36,18,109300
Denmark,33,15,112300
France,36,10,95400
Poland,50,30,122400
Argentina,38,18,83300
Ireland,18,0,68800
US,36,11,111100
Argentina,38,14,52400
Denmark,19,0,60100
Italy,36,18,94200
Brazil,37,13,57900
Austria,31,6,71200
Canada,38,17,120000
Netherlands,38,16,122900
Poland,18,0,32100
Poland,34,14,75300
Argentina,23,2,21100
Austria,37,14,99000
Brazil,40,16,73100
Ireland,29,10,103400
Italy,32,9,73200
Mexico,43,23,73800
Netherlands,35,13,113200
UK,45,23,134600
US,61,43,183200
Italy,18,0,43200
France,25,1,69100
Norway,40,13,110400
Norway,36,12,118300
Canada,47,22,125100
Denmark,33,9,87700
Mexico,35,11,58700
Austria,29,5,84400
Ireland,30,12,95600
France,38,19,119200
Sweden,46,25,128100
Portugal,40,20,85900
Italy,43,17,97800
Austria,33,13,102800
Spain,25,5,59200
Argentina,47,25,87400
Denmark,46,25,147500
Austria,18,0,71300
Italy,31,6,61700
Netherlands,44,21,128400
Spain,42,21,113200
Canada,32,12,100300
Sweden,27,6,80500
Sweden,50,30,135100
Sweden,29,5,87500
Mexico,42,23,84000
UK,60,34,160800
Brazil,40,22,69400
Canada,40,21,116200
Mexico,36,12,51500
France,18,0,57800
Denmark,35,15,105200
Denmark,22,0,65400
Brazil,20,0,24000
UK,30,6,83100
Mexico,49,26,77300
Brazil,18,0,14900
Sweden,24,0,75400
Denmark,20,1,77900
Mexico,42,19,73300
Sweden,30,10,85200
Argentina,40,18,63000
Norway,52,29,146200
Denmark,35,17,107600
Denmark,40,17,124200
Belgium,38,20,130000
Ireland,23,0,47200
Poland,43,19,86200
Netherlands,27,3,82900
Denmark,38,17,116300
Italy,50,31,108100
Poland,47,28,115200
Brazil,30,5,33300
Brazil,48,25,103300
Italy,49,30,121500
Belgium,48,26,123600
Sweden,22,1,69000
Denmark,31,9,84200
Sweden,43,25,121500
Sweden,28,4,84700
Canada,51,30,138200
Austria,45,21,122400
France,30,8,91900
Ireland,26,6,80200
Ireland,26,6,84900
Austria,49,28,131400
Canada,63,39,163600
Sweden,28,7,83500
Austria,29,7,88400
Poland,28,6,60900
Spain,59,39,163100
Poland,27,9,75700
Portugal,36,14,68000
Germany,35,16,107400
Argentina,38,12,48700
Portugal,36,14,67000
Switzerland,51,27,156200
Argentina,35,6,39000
US,43,16,124600
Ireland,32,9,95700
Portugal,29,9,68000
Mexico,27,8,36200
Poland,24,1,37000
Spain,50,27,132100
Switzerland,26,0,107000
Spain,31,9,78000
Spain,28,2,57200
Mexico,39,17,73400
Switzerland,60,42,193800
Germany,28,6,80100
France,20,0,44300
Netherlands,44,26,141900
Brazil,45,24,84800
Brazil,43,22,81400
Mexico,29,6,31000
Argentina,37,16,74400
Norway,18,0,60800
France,30,9,98700
Norway,31,10,100300
Mexico,24,6,57500
Norway,52,25,146100
Poland,27,9,48100
Argentina,37,19,74200
Spain,36,17,97400
Norway,39,20,120800
Brazil,23,0,27400
Italy,31,7,76100
US,20,2,68300
Sweden,47,29,138800
France,33,14,103400
Austria,21,3,70000
Belgium,20,1,71800
Argentina,42,23,132300
Norway,35,10,84600
Netherlands,33,15,160800
Canada,33,15,101700
Italy,18,0,41000
Ireland,28,9,90900
Canada,31,8,75500
Canada,30,8,83000
Norway,42,21,118800
Belgium,26,8,74600
Poland,42,11,81600
Ireland,47,23,130000
Brazil,39,21,78500
Brazil,33,11,55000
Norway,33,9,90300
US,33,14,115500
Brazil,45,23,81900
